img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
plant_1_17632796,plant_1,598,798,0.9966666666666667,0.9975,477204,0.994175,0.5626520833333334,17632796,0.5073043399377205,0.5215300431118006,1,1
diseased_3476880261,diseased,351,661,0.585,0.82625,232011,0.48335625,0.06956458333333333,3476880261,0.6829787966817407,0.6131225979056233,138,247
plant_1_3476880261,plant_1,598,797,0.9966666666666667,0.99625,476606,0.9929291666666666,0.28805833333333336,3476880261,0.4789151954899182,0.4174001215031678,1,0
plant_2_3476880261,plant_2,249,254,0.415,0.3175,63246,0.1317625,0.012704166666666667,3476880261,0.4055971220072155,0.18941866185634634,205,4
plant_3_3476880261,plant_3,207,92,0.345,0.115,19044,0.039675,0.004389583333333333,3476880261,0.2948546511627907,0.2404390128144281,190,45
plant_4_3476880261,plant_4,98,37,0.16333333333333333,0.04625,3626,0.0075541666666666665,0.0022479166666666667,3476880261,0.3446177015755329,0.1564210688909484,255,44
plant_5_3476880261,plant_5,408,306,0.68,0.3825,124848,0.2601,0.02461875,3476880261,0.8227910002538715,0.2621799102987222,492,8
plant_6_3476880261,plant_6,61,107,0.10166666666666667,0.13375,6527,0.013597916666666666,0.00389375,3476880261,0.8624846174424826,0.4681630105225611,654,248
plant_7_3476880261,plant_7,355,797,0.5916666666666667,0.99625,282935,0.5894479166666666,0.12712083333333332,3476880261,0.3451087793765774,0.8102645121111803,1,244
plant_8_3476880261,plant_8,83,343,0.13833333333333334,0.42875,28469,0.059310416666666664,0.00605,3476880261,0.5486346418732783,0.8525103305785124,260,482
diseased_3516111318,diseased,597,797,0.995,0.99625,475809,0.99126875,0.4103625,3516111318,0.4765477994557657,0.5519842466518423,1,1
plant_1_3516111318,plant_1,588,788,0.98,0.985,463344,0.9653,0.19359583333333333,3516111318,0.5842222036889568,0.3703556234710056,11,0
None_3552954566,None,22,122,0.03666666666666667,0.1525,2684,0.005591666666666667,0.00135,3552954566,0.4845640432098765,0.838587962962963,329,493
diseased_3552954566,diseased,236,737,0.3933333333333333,0.92125,173932,0.36235833333333334,0.07974791666666667,3552954566,0.2512393544763447,0.8377139772024695,0,362
plant_1_3552954566,plant_1,597,799,0.995,0.99875,477003,0.99375625,0.28754375,3552954566,0.3952851377688902,0.43268649939743475,0,1
plant_2_3552954566,plant_2,534,391,0.89,0.48875,208794,0.4349875,0.05914791666666667,3552954566,0.735042354971646,0.591514623178707,407,64
diseased_3618440101,diseased,495,694,0.825,0.8675,343530,0.7156875,0.14455625,3618440101,0.5909467911856688,0.4281954833037889,104,71
plant_1_3618440101,plant_1,546,797,0.91,0.99625,435162,0.9065875,0.1944375,3618440101,0.5600321172184721,0.5741378263509411,1,52
plant_2_3618440101,plant_2,157,182,0.26166666666666666,0.2275,28574,0.05952916666666667,0.012372916666666667,3618440101,0.5691419009934332,0.7346927092103048,367,377
diseased_3665766829,diseased,554,799,0.9233333333333333,0.99875,442646,0.9221791666666667,0.2705958333333333,3665766829,0.49120153442249354,0.511642170826725,0,45
plant_1_3665766829,plant_1,598,798,0.9966666666666667,0.9975,477204,0.994175,0.21453333333333333,3665766829,0.48921992745882537,0.5137412924694427,1,0
plant_2_3665766829,plant_2,109,75,0.18166666666666667,0.09375,8175,0.01703125,0.0026979166666666666,3665766829,0.9553310810810811,0.2615817245817246,723,101
diseased_3673046362,diseased,528,595,0.88,0.74375,314160,0.6545,0.19585,3673046362,0.45137506914305164,0.4775535947295266,89,71
plant_1_3673046362,plant_1,365,399,0.6083333333333333,0.49875,145635,0.30340625,0.03563125,3673046362,0.49995644039057474,0.4360158061938451,190,84
plant_2_3673046362,plant_2,219,581,0.365,0.72625,127239,0.26508125,0.0641625,3673046362,0.40694172511202026,0.7623537783838777,1,353
None_3680354956,None,3,5,0.005,0.00625,15,3.125e-05,5e-05,3680354956,0.533125,0.6308333333333334,424,377
diseased_3680354956,diseased,566,711,0.9433333333333334,0.88875,402426,0.8383875,0.21052708333333334,3680354956,0.5169542962603783,0.4745413297972351,87,32
plant_1_3680354956,plant_1,526,799,0.8766666666666667,0.99875,420274,0.8755708333333333,0.36340208333333335,3680354956,0.4862545361256184,0.5679291858000876,0,72
plant_2_3680354956,plant_2,149,360,0.24833333333333332,0.45,53640,0.11175,0.014983333333333333,3680354956,0.5827210789766407,0.08655937152391546,281,0
plant_3_3680354956,plant_3,231,399,0.385,0.49875,92169,0.19201875,0.06912291666666667,3680354956,0.19637477772084755,0.1317288545967831,0,1
diseased_3692595571,diseased,216,797,0.36,0.99625,172152,0.35865,0.07502083333333333,3692595571,0.5278787489586226,0.3883412015180968,1,112
plant_1_3692595571,plant_1,540,759,0.9,0.94875,409860,0.853875,0.05838125,3692595571,0.5679207704385684,0.49711582152755474,1,58
plant_2_3692595571,plant_2,469,535,0.7816666666666666,0.66875,250915,0.5227395833333334,0.019260416666666665,3692595571,0.4712049756625203,0.4932118262123671,183,129
