img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
plant_1_Corn_Blight (1096),plant_1,106,359,0.44166666666666665,0.9917127071823204,38054,0.43800644567219155,0.2821017495395948,Corn_Blight (1096),0.5807407764742639,0.5047380554082174,1,73
plant_2_Corn_Blight (1096),plant_2,190,62,0.7916666666666666,0.1712707182320442,11780,0.13558931860036832,0.06266114180478821,Corn_Blight (1096),0.08808166322293082,0.3726694526083762,1,1
diseased_Corn_Blight (1101),diseased,1546,1047,0.96625,0.8725,1618662,0.843053125,0.5847395833333333,Corn_Blight (1101),0.48597888201062917,0.44385880633740094,151,0
plant_1_Corn_Blight (1106),plant_1,679,1559,0.2486268766019773,0.857064321055525,1058561,0.21308922519102946,0.1061745209895386,Corn_Blight (1106),0.5292118672677508,0.8909498412455576,109,2050
plant_2_Corn_Blight (1106),plant_2,2052,1614,0.7513731233980228,0.8873007146783948,3311928,0.6666939093812032,0.1566953969944576,Corn_Blight (1106),0.6194827482293598,0.43340787122099494,203,277
plant_3_Corn_Blight (1106),plant_3,1909,1143,0.6990113511534236,0.6283672347443651,2181987,0.4392358297791991,0.14371451191892246,Corn_Blight (1106),0.5094395415397002,0.25213585197952065,456,1
plant_4_Corn_Blight (1106),plant_4,561,651,0.20541926034419628,0.35788894997251236,365211,0.07351728338871455,0.03853039109332328,Corn_Blight (1106),0.14486020226255825,0.28646408656456324,1,515
plant_1_Corn_Blight (1108),plant_1,397,271,0.9925,0.9033333333333333,107587,0.8965583333333333,0.7958916666666667,Corn_Blight (1108),0.46250009597900327,0.4618682400242914,1,1
diseased_Corn_Blight (111),diseased,253,170,0.98828125,0.6640625,43010,0.656280517578125,0.5772247314453125,Corn_Blight (111),0.4861980681157313,0.4929463630746253,40,1
diseased_Corn_Blight (1112),diseased,1597,891,0.998125,0.7425,1422927,0.7411078125,0.26423541666666667,Corn_Blight (1112),0.5419815508713558,0.5765177499645202,307,1
plant_1_Corn_Blight (1112),plant_1,1597,673,0.998125,0.5608333333333333,1074781,0.5597817708333334,0.051705729166666665,Corn_Blight (1112),0.4031656006043818,0.2851362440191388,212,1
plant_3_Corn_Blight (1112),plant_3,1475,114,0.921875,0.095,168150,0.087578125,0.014473958333333333,Corn_Blight (1112),0.549550707688617,0.5202624820079165,610,123
diseased_Corn_Blight (1118),diseased,258,429,0.8896551724137931,0.9930555555555556,110682,0.8834770114942528,0.7532327586206896,Corn_Blight (1118),0.47080659515553275,0.5233325476826044,1,30
diseased_Corn_Blight (113),diseased,253,253,0.98828125,0.98828125,64009,0.9766998291015625,0.9541015625,Corn_Blight (113),0.4837664601258636,0.4869863301241044,1,1
diseased_Corn_Blight (1134),diseased,529,1021,0.6888020833333334,0.9970703125,540109,0.6867841084798177,0.6078275044759115,Corn_Blight (1134),0.5150403005299259,0.5011261196475704,1,113
diseased_Corn_Blight (1144),diseased,779,284,0.9351740696278511,0.54510556621881,221236,0.5097685907376386,0.3403902827925796,Corn_Blight (1144),0.5749142082869128,0.5171810667175073,159,52
plant_1_Corn_Blight (1144),plant_1,92,44,0.11044417767106843,0.08445297504798464,4048,0.009327339381049925,0.0072282271833877506,Corn_Blight (1144),0.46950856503732,0.051884700325779014,222,1
plant_2_Corn_Blight (1144),plant_2,266,87,0.31932773109243695,0.16698656429942418,23142,0.05332344070065646,0.019887417538992563,Corn_Blight (1144),0.9182549800956291,0.15969724699055848,432,1
diseased_Corn_Blight (115),diseased,253,245,0.98828125,0.95703125,61985,0.9458160400390625,0.8774261474609375,Corn_Blight (115),0.5510638439516199,0.4880573486383319,9,1
