img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
plant_1_00000__008,plant_1,657,468,0.657,0.7027027027027027,307476,0.4616756756756757,0.19186336336336338,00000__008,0.5026305799621081,0.45163308316572887,89,134
plant_1_00001__002,plant_1,656,630,0.656,0.9459459459459459,413280,0.6205405405405405,0.30135285285285285,00001__002,0.46788385088642687,0.5496731605721944,28,216
plant_1_00001__036,plant_1,549,541,0.549,0.8123123123123123,297009,0.4459594594594595,0.2632027027027027,00001__036,0.467374829776637,0.448805046408014,50,162
plant_1_00002__013,plant_1,890,639,0.89,0.9594594594594594,568710,0.8539189189189189,0.35372372372372374,00002__013,0.43501766262399594,0.5357508107649206,19,70
None_00010__097,None,48,181,0.048,0.27177177177177175,8688,0.013045045045045046,0.0003978978978978979,00010__097,0.5484673352597881,0.3679056603773585,219,347
plant_1_00010__097,plant_1,718,591,0.718,0.8873873873873874,424338,0.6371441441441441,0.11255255255255256,00010__097,0.5141647517314539,0.4492171424759872,17,119
plant_1_00011__012,plant_1,215,100,0.215,0.15015015015015015,21500,0.03228228228228228,0.003932432432432432,00011__012,0.39399193007440425,0.8464757541046202,196,715
plant_2_00011__012,plant_2,535,323,0.535,0.484984984984985,172805,0.25946696696696697,0.030334834834834835,00011__012,0.31886286623206883,0.5148726426768302,64,274
plant_3_00011__012,plant_3,452,278,0.452,0.4174174174174174,125656,0.18867267267267268,0.017222222222222222,00011__012,0.4263683037876586,0.2980915431560593,179,114
plant_4_00011__012,plant_4,469,140,0.469,0.21021021021021022,65660,0.09858858858858859,0.01586036036036036,00011__012,0.766983825631937,0.34178954842374326,440,169
plant_1_00014__066,plant_1,632,494,0.632,0.7439759036144579,312208,0.4701927710843373,0.02655120481927711,00014__066,0.2050919503311032,0.3482039705048213,44,47
plant_2_00014__066,plant_2,606,254,0.606,0.3825301204819277,153924,0.2318132530120482,0.04852710843373494,00014__066,0.5501998840124946,0.3262784743343058,208,43
plant_3_00014__066,plant_3,592,223,0.592,0.3358433734939759,132016,0.19881927710843372,0.028751506024096384,00014__066,0.8155902642574909,0.3518493530983186,402,69
plant_1_00014__086,plant_1,679,154,0.679,0.23123123123123124,104566,0.157006006006006,0.024438438438438438,00014__086,0.30069145085119525,0.47731998033914963,139,136
plant_2_00014__086,plant_2,523,180,0.523,0.2702702702702703,94140,0.14135135135135135,0.03681681681681682,00014__086,0.6771321688736044,0.429766924959217,359,169
plant_1_00025__045,plant_1,696,509,0.696,0.7642642642642643,354264,0.531927927927928,0.1706111111111111,00025__045,0.5183465519961248,0.4646577045948586,68,80
plant_1_00025__051,plant_1,782,508,0.782,0.7627627627627628,397256,0.5964804804804805,0.12841591591591592,00025__051,0.4332028901160734,0.5079997310727857,91,144
