id_name_1,id_name_2,dist,coords_1,coords_2,norm_coords_1_y,norm_coords_1_x,norm_coords_2_y,norm_coords_2_x
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_1,197.00253805471644,[   9.5 1321. ],[ 166.5 1440. ],9.5,575.0,62.5,346.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_2,405.7647101461634,[   0.  1331.5],[ 271.  1633.5],0.0,585.5,114.0,38.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_3,227.55438910291315,[204.5 941. ],[429.5 975. ],204.5,195.0,14.5,432.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_4,574.1672230282742,[ 129.5 1144. ],[ 611.5 1456. ],129.5,398.0,-0.5,313.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_5,722.0470898771076,[   0.  1331.5],[ 486.  1865.5],0.0,585.5,85.0,102.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_6,896.1612578102224,[  12.5 1317. ],[ 739.5 1841. ],12.5,571.0,32.5,11.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_7,900.5609363058115,[ 106.5 1179. ],[ 857.5 1676. ],106.5,433.0,66.5,73.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_8,1018.560749292844,[ 177.5 1053. ],[1098.5 1488. ],177.5,307.0,4.5,301.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_9,555.8165164872307,[ 129.5 1144. ],[ 593.5 1450. ],129.5,398.0,29.5,0.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_10,740.2702209328698,[ 106.5 1179. ],[ 710.5 1607. ],106.5,433.0,3.5,282.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_2_11,494.1457274934187,[   9.5 1321. ],[ 397.5 1627. ],9.5,575.0,-0.5,66.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_12,681.7191503837926,[   0.  1331.5],[ 430.  1860.5],0.0,585.5,60.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_13,612.0400313704979,[   4.5 1327. ],[ 452.5 1744. ],4.5,581.0,26.5,4.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_14,722.768289287791,[   4.5 1327. ],[ 559.5 1790. ],4.5,581.0,64.5,121.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_15,796.6460945739959,[  12.5 1317. ],[ 661.5 1779. ],12.5,571.0,-0.5,11.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_16,807.6199601297631,[  12.5 1317. ],[ 695.5 1748. ],12.5,571.0,-0.5,3.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_17,847.5966021640247,[  43.5 1271. ],[ 751.5 1737. ],43.5,525.0,-0.5,23.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_18,634.8558891591067,[ 129.5 1144. ],[ 658.5 1495. ],129.5,398.0,-0.5,0.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_19,740.2702209328698,[ 106.5 1179. ],[ 686.5 1639. ],106.5,433.0,29.5,1.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_20,842.6820278135757,[ 106.5 1179. ],[ 793.5 1667. ],106.5,433.0,-0.5,164.0
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_21,739.2868184946896,[   0.  1331.5],[ 268.  2020.5],0.0,585.5,6.0,9.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_22,364.0,[   0.  1331.5],[   0.  1695.5],0.0,585.5,0.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_23,219.0,[   0.  1331.5],[   0.  1550.5],0.0,585.5,0.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_24,129.0,[   0.  1331.5],[   0.  1460.5],0.0,585.5,0.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_25,281.0,[   0.  1331.5],[   0.  1612.5],0.0,585.5,0.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_26,388.0,[   0.  1331.5],[   0.  1719.5],0.0,585.5,0.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_1_27,549.0,[   0.  1331.5],[   0.  1880.5],0.0,585.5,0.0,-0.5
Test_1628.jpg.json_2_0,Test_1628.jpg.json_0_28,140.0,[   0.  1331.5],[   0.  1471.5],0.0,585.5,0.0,1471.5
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_2,0.0,[ 172.5 1756. ],[ 172.5 1756. ],68.5,662.0,15.5,161.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_3,0.0,[ 569.  1093.5],[ 569.  1093.5],465.0,-0.5,154.0,550.5
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_4,234.01922997907675,[ 422.5 1318. ],[ 611.5 1456. ],318.5,224.0,-0.5,313.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_5,307.001628660175,[ 219.5 1706. ],[ 464.5 1891. ],115.5,612.0,63.5,128.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_6,529.8726262036944,[ 219.5 1706. ],[ 717.5 1887. ],115.5,612.0,10.5,57.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_7,562.0008896790112,[ 408.5 1338. ],[ 857.5 1676. ],304.5,244.0,66.5,73.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_8,650.6681181677799,[ 573.5 1097. ],[1113.5 1460. ],469.5,3.0,19.5,273.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_9,215.77998053572995,[ 413.5 1331. ],[ 593.5 1450. ],309.5,237.0,29.5,0.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_10,402.61271713645607,[ 386.5 1368. ],[ 710.5 1607. ],282.5,274.0,3.5,282.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_2_11,144.8481963988506,[ 263.5 1572. ],[ 397.5 1627. ],159.5,478.0,-0.5,66.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_12,261.00766272276377,[ 219.5 1706. ],[ 429.5 1861. ],115.5,612.0,59.5,0.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_13,234.61031520374377,[ 221.5 1697. ],[ 450.5 1748. ],117.5,603.0,24.5,8.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_14,315.1840732016769,[ 219.5 1706. ],[ 494.5 1860. ],115.5,612.0,-0.5,191.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_15,447.4784911032037,[ 227.5 1670. ],[ 661.5 1779. ],123.5,576.0,-0.5,11.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_16,464.7687597074485,[ 284.5 1531. ],[ 695.5 1748. ],180.5,437.0,-0.5,3.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_17,505.8893159575521,[ 331.5 1455. ],[ 751.5 1737. ],227.5,361.0,-0.5,23.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_18,294.8236761184556,[ 413.5 1331. ],[ 658.5 1495. ],309.5,237.0,-0.5,0.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_19,399.8512223315067,[ 331.5 1455. ],[ 686.5 1639. ],227.5,361.0,29.5,1.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_20,505.0247518686584,[ 386.5 1368. ],[ 793.5 1667. ],282.5,274.0,-0.5,164.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_21,280.3176769310134,[ 171.  1757.5],[ 268.  2020.5],67.0,663.5,6.0,9.5
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_22,0.0,[ 107.  1728.5],[ 107.  1728.5],3.0,634.5,107.0,32.5
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_23,0.0,[ 110.5 1662. ],[ 110.5 1662. ],6.5,568.0,110.5,111.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_24,49.25444142409901,[ 111.5 1612. ],[  62.5 1607. ],7.5,518.0,62.5,146.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_25,60.0,[ 109.5 1652. ],[  49.5 1652. ],5.5,558.0,49.5,39.0
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_26,26.0,[ 116.  1755.5],[ 106.  1779.5],12.0,661.5,106.0,59.5
Test_1628.jpg.json_2_1,Test_1628.jpg.json_1_27,136.61991070118586,[ 139.  1759.5],[ 126.  1895.5],35.0,665.5,126.0,14.5
Test_1628.jpg.json_2_1,Test_1628.jpg.json_0_28,0.0,[ 417.  1132.5],[ 417.  1132.5],313.0,38.5,417.0,1132.5
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_3,238.9476930208785,[ 372.  1598.5],[ 522.  1412.5],215.0,3.5,107.0,869.5
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_4,262.9676786222976,[ 399.5 1629. ],[ 635.5 1513. ],242.5,34.0,23.5,370.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_5,71.69379331573968,[ 364.5 1923. ],[ 430.5 1951. ],207.5,328.0,29.5,188.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_6,315.53922101697594,[ 411.5 1810. ],[ 717.5 1887. ],254.5,215.0,10.5,57.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_7,391.7818270415309,[ 411.5 1810. ],[ 793.5 1897. ],254.5,215.0,2.5,294.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_8,697.2438597793458,[ 423.5 1693. ],[1093.5 1500. ],266.5,98.0,-0.5,313.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_9,165.38742394752995,[ 407.5 1652. ],[ 564.5 1600. ],250.5,57.0,0.5,150.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_10,291.52872928752663,[ 424.5 1697. ],[ 707.5 1627. ],267.5,102.0,0.5,302.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_2_11,0.0,[ 423.5 1696. ],[ 423.5 1696. ],266.5,101.0,25.5,135.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_12,33.24154027718932,[ 397.5 1852. ],[ 429.5 1861. ],240.5,257.0,59.5,0.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_13,24.04163056034261,[ 403.5 1829. ],[ 426.5 1836. ],246.5,234.0,0.5,96.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_14,95.90099061010788,[ 400.5 1841. ],[ 494.5 1860. ],243.5,246.0,-0.5,191.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_15,245.3507693079441,[ 420.5 1733. ],[ 661.5 1779. ],263.5,138.0,-0.5,11.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_16,273.7918917718346,[ 424.5 1709. ],[ 695.5 1748. ],267.5,114.0,-0.5,3.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_17,328.1965874289372,[ 424.5 1709. ],[ 751.5 1737. ],267.5,114.0,-0.5,23.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_18,270.37936311782374,[ 423.5 1693. ],[ 679.5 1606. ],266.5,98.0,20.5,111.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_19,233.13729860320507,[ 424.5 1709. ],[ 656.5 1732. ],267.5,114.0,-0.5,94.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_20,370.0608058143959,[ 424.5 1697. ],[ 793.5 1669. ],267.5,102.0,-0.5,166.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_21,0.0,[ 266.  2026.5],[ 266.  2026.5],109.0,431.5,4.0,15.5
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_22,0.0,[ 172.5 1758. ],[ 172.5 1758. ],15.5,163.0,172.5,62.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_23,78.79086241436883,[ 175.5 1745. ],[ 103.5 1713. ],18.5,150.0,103.5,162.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_24,173.1040149736568,[ 204.5 1706. ],[  62.5 1607. ],47.5,111.0,62.5,146.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_25,155.03870484495155,[ 178.5 1739. ],[  49.5 1653. ],21.5,144.0,49.5,40.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_26,0.0,[ 163.  1805.5],[ 163.  1805.5],6.0,210.5,163.0,85.5
Test_1628.jpg.json_2_2,Test_1628.jpg.json_1_27,0.0,[ 159.5 1899. ],[ 159.5 1899. ],2.5,304.0,159.5,18.0
Test_1628.jpg.json_2_2,Test_1628.jpg.json_0_28,103.07764064044152,[ 200.5 1712. ],[ 111.5 1660. ],43.5,117.0,111.5,1660.0
