img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
None_Test_1628,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.5868078210851648,Test_1628,0.35652379013650665,0.4852051790873431,0,0
diseased_Test_1628,diseased,1259,1503,0.9223443223443224,0.73388671875,1892277,0.676896248282967,0.31679544413919414,Test_1628,0.6928921763265322,0.5425956259498865,543,104
plant_1_Test_1628,plant_1,1361,1300,0.9970695970695971,0.634765625,1769300,0.6329055059523809,0.09736220810439561,Test_1628,0.7368810325010196,0.44035326537145203,746,0
None_Test_1666,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.412967533768315,Test_1666,0.6932668486555446,0.42781996166880343,0,0
diseased_Test_1666,diseased,1362,1759,0.9978021978021978,0.85888671875,2395758,0.8569990556318682,0.4599745306776557,Test_1666,0.3949173967051099,0.4970603554394426,0,0
plant_1_Test_1666,plant_1,947,574,0.6937728937728938,0.2802734375,543578,0.1944461137820513,0.12827059008699634,Test_1666,0.25204325025081364,0.7367470999684462,224,414
None_Test_1667,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.5914649152930402,Test_1667,0.4736172871565632,0.5215381466018316,0,0
diseased_Test_1667,diseased,944,1682,0.6915750915750916,0.8212890625,1587808,0.5679830586080586,0.40817450778388276,Test_1667,0.5358266672682637,0.4683626444892285,217,156
plant_1_Test_1667,plant_1,33,151,0.024175824175824177,0.07373046875,4983,0.0017824948489010989,0.0016011332417582417,Test_1667,0.9631901827105674,0.41958724921191415,1895,557
None_Test_1704,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.304096196771978,Test_1704,0.31024517986688,0.34088321767002217,0,0
diseased_Test_1704,diseased,1226,1844,0.8981684981684982,0.900390625,2260744,0.8087024954212454,0.47266090029761904,Test_1704,0.5778893936440511,0.47685880893467475,202,0
plant_1_Test_1704,plant_1,1308,2046,0.9582417582417583,0.9990234375,2676168,0.9573059752747253,0.2219172103937729,Test_1704,0.5909203938873969,0.7623104358966919,0,55
None_Test_1798,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.5791187328296703,Test_1798,0.41911871176312804,0.41194150624777365,0,0
diseased_Test_1798,diseased,434,886,0.31794871794871793,0.4326171875,384524,0.13755008012820513,0.05645711710164835,Test_1798,0.7284269388416589,0.7872609530196636,1018,817
plant_1_Test_1798,plant_1,1023,1835,0.7494505494505495,0.89599609375,1877205,0.6715047647664835,0.3655684809981685,Test_1798,0.593365782761504,0.5952856175020773,211,340
None_Test_1819,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.4477621336996337,Test_1819,0.4785971080609416,0.572357869623889,0,0
diseased_Test_1819,diseased,1167,2046,0.8549450549450549,0.9990234375,2387682,0.8541101476648352,0.5134186126373627,Test_1819,0.4851942561888966,0.4144557541665546,0,0
plant_1_Test_1819,plant_1,1316,397,0.9641025641025641,0.19384765625,522452,0.18688902243589745,0.03960694253663004,Test_1819,0.9337503349816997,0.7784424086116613,1649,47
None_Train_105,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.13570069253663003,Train_105,0.5843990409209636,0.5824886343800076,0,0
diseased_Train_105,diseased,1089,2046,0.7978021978021979,0.9990234375,2228094,0.7970230940934065,0.2145693824404762,Train_105,0.4108528330424364,0.48284640690193564,0,101
plant_1_Train_105,plant_1,1363,2046,0.9985347985347985,0.9990234375,2788698,0.9975596668956044,0.6533492874313187,Train_105,0.5084752027185337,0.48764268656945764,0,0
None_Train_1060,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.6188326322115385,Train_1060,0.5391635235511724,0.5016182667709669,0,0
diseased_Train_1060,diseased,969,1738,0.7098901098901099,0.8486328125,1684122,0.602436040521978,0.31872066735347987,Train_1060,0.4714729564339948,0.5500891238116122,163,261
plant_1_Train_1060,plant_1,988,1161,0.7238095238095238,0.56689453125,1147068,0.4103236607142857,0.06593835851648351,Train_1060,0.2608323276962559,0.23723433724735724,0,0
None_Train_1063,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.4998250772664835,Train_1063,0.5945601258324485,0.47217358647009733,0,0
diseased_Train_1063,diseased,940,1331,0.6886446886446886,0.64990234375,1251140,0.44755179716117216,0.3096350589514652,Train_1063,0.5119423485839444,0.4824377109504843,381,188
plant_1_Train_1063,plant_1,1363,2046,0.9985347985347985,0.9990234375,2788698,0.9975596668956044,0.20262813358516482,Train_1063,0.2308793951424086,0.5895695713487543,0,0
None_Train_1098,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.6750321943681319,Train_1098,0.46807229295123354,0.4876869458791872,0,0
diseased_Train_1098,diseased,815,2046,0.5970695970695971,0.9990234375,1667490,0.5964865212912088,0.3258234603937729,Train_1098,0.5654176606701695,0.5243678864938661,0,310
None_Train_1179,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.5590691535027472,Train_1179,0.41586372312998954,0.427181249717975,0,0
diseased_Train_1179,diseased,828,354,0.6065934065934065,0.1728515625,293112,0.10485061813186813,0.048610991872710625,Train_1179,0.930449168158726,0.6651152629267764,1692,455
plant_1_Train_1179,plant_1,1044,1987,0.7648351648351648,0.97021484375,2074428,0.742054429945055,0.39149174393315017,Train_1179,0.5644881155234025,0.5809923304159079,58,319
None_Train_1267,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.6437886332417583,Train_1267,0.5540227480062568,0.45390618217951745,0,0
diseased_Train_1267,diseased,983,1552,0.7201465201465201,0.7578125,1525616,0.5457360347985348,0.35823353079212455,Train_1267,0.4020884904765183,0.5827603480212848,0,326
None_Train_13,None,1364,2047,0.9992673992673993,0.99951171875,2792108,0.9987794757326007,0.4675605969551282,Train_13,0.43967926843154087,0.5763161879147572,0,0
diseased_Train_13,diseased,348,1132,0.2549450549450549,0.552734375,393936,0.1409168956043956,0.10625536572802198,Train_13,0.23761653496573681,0.10555856388019841,0,0
