img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
None_tomato0,None,140,242,0.28,0.605,33880,0.1694,0.1076,tomato0,0.6976075743494424,0.10920111524163569,151,1
plant_1_tomato0,plant_1,471,358,0.942,0.895,168618,0.84309,0.220405,tomato0,0.6768823302556658,0.7077854404391914,40,27
plant_2_tomato0,plant_2,453,244,0.906,0.61,110532,0.55266,0.180875,tomato0,0.27297125086385626,0.3466786454733932,1,1
plant_3_tomato0,plant_3,98,57,0.196,0.1425,5586,0.02793,0.01307,tomato0,0.7620935348125478,0.3909992348890589,279,149
plant_4_tomato0,plant_4,43,69,0.086,0.1725,2967,0.014835,0.00686,tomato0,0.9127241253644316,0.6586734693877551,329,307
plant_1_tomato102,plant_1,497,397,0.994,0.9925,197309,0.986545,0.33785,tomato102,0.4653520053278082,0.4058661832174042,1,1
plant_2_tomato102,plant_2,296,276,0.592,0.69,81696,0.40848,0.19313,tomato102,0.6942078522238907,0.7737806140941335,122,202
plant_1_tomato108,plant_1,397,408,0.9925,0.816,161976,0.80988,0.36513,tomato108,0.4286531646262975,0.43684540437652347,35,1
plant_1_tomato116,plant_1,397,497,0.9925,0.994,197309,0.986545,0.68762,tomato116,0.499448139961025,0.4615357137663244,1,1
plant_2_tomato116,plant_2,233,46,0.5825,0.092,10718,0.05359,0.021845,tomato116,0.921948729686427,0.735140192263676,432,165
plant_3_tomato116,plant_3,276,329,0.69,0.658,90804,0.45402,0.062675,tomato116,0.42792915835660156,0.4798400478659752,1,35
plant_1_tomato130,plant_1,351,205,0.8775,0.41,71955,0.359775,0.178665,tomato130,0.8058446254162818,0.6060665911062604,293,47
plant_2_tomato130,plant_2,397,304,0.9925,0.608,120688,0.60344,0.253805,tomato130,0.21336561533460727,0.558587892279506,1,1
plant_1_tomato139,plant_1,497,397,0.994,0.9925,197309,0.986545,0.26074,tomato139,0.5437243997852267,0.49602481399094883,1,1
None_tomato142,None,24,8,0.048,0.02,192,0.00096,0.000385,tomato142,0.4827272727272727,0.7862597402597403,190,379
plant_1_tomato142,plant_1,490,253,0.98,0.6325,123970,0.61985,0.28568,tomato142,0.7436442435592271,0.5820933211985437,145,1
plant_2_tomato142,plant_2,343,133,0.686,0.3325,45619,0.228095,0.186635,tomato142,0.14772724837249177,0.6904693653387628,1,155
plant_1_tomato161,plant_1,397,467,0.9925,0.934,185399,0.926995,0.55699,tomato161,0.32339293344584286,0.4877346990071635,1,1
plant_1_tomato170,plant_1,497,368,0.994,0.92,182896,0.91448,0.440955,tomato170,0.4265163111882165,0.3644548763479266,1,1
plant_2_tomato170,plant_2,497,397,0.994,0.9925,197309,0.986545,0.150875,tomato170,0.8502546810273405,0.4117411101905551,1,1
dreid_1_tomato190,dreid_1,76,60,0.19,0.12,4560,0.0228,0.013865,tomato190,0.4194230075730256,0.5868472773169853,182,200
plant_1_tomato190,plant_1,377,464,0.9425,0.928,174928,0.87464,0.26028,tomato190,0.626468380205932,0.4663347164591978,34,1
plant_2_tomato190,plant_2,238,104,0.595,0.208,24752,0.12376,0.01759,tomato190,0.44216486640136443,0.30709636156907333,153,1
plant_3_tomato190,plant_3,57,82,0.1425,0.164,4674,0.02337,0.007805,tomato190,0.07975400384368994,0.4773510570147341,1,157
plant_1_tomato199,plant_1,397,497,0.9925,0.994,197309,0.986545,0.66789,tomato199,0.4813191543517645,0.40473689529712975,1,1
plant_2_tomato199,plant_2,303,68,0.7575,0.136,20604,0.10302,0.042065,tomato199,0.04874717698799477,0.44650184238678237,1,1
diseased_tomato212,diseased,397,368,0.9925,0.736,146096,0.73048,0.347185,tomato212,0.29702305687169667,0.31619197978023245,2,1
plant_1_tomato212,plant_1,397,271,0.9925,0.542,107587,0.537935,0.17541,tomato212,0.7098932786044125,0.5109549056496209,227,1
None_tomato221,None,497,397,0.994,0.9925,197309,0.986545,0.27251,tomato221,0.6297211570217607,0.49868434185901434,1,1
plant_1_tomato221,plant_1,497,397,0.994,0.9925,197309,0.986545,0.52794,tomato221,0.5319738038413456,0.5601634844868735,1,1
plant_2_tomato221,plant_2,396,207,0.792,0.5175,81972,0.40986,0.1848,tomato221,0.17358157467532467,0.31767353896103895,1,1
plant_3_tomato221,plant_3,407,77,0.814,0.1925,31339,0.156695,0.059115,tomato221,0.5818206039076377,0.4845176351179904,198,1
None_tomato23,None,497,397,0.994,0.9925,197309,0.986545,0.811725,tomato23,0.49200679109304263,0.4219208229388032,1,1
plant_1_tomato23,plant_1,179,351,0.358,0.8775,62829,0.314145,0.190665,tomato23,0.5340177143156846,0.8465940261715574,1,319
plant_1_tomato233,plant_1,466,371,0.932,0.9275,172886,0.86443,0.63951,tomato233,0.5621021172460164,0.46113968507138275,27,1
plant_1_tomato238,plant_1,497,364,0.994,0.91,180908,0.90454,0.21434,tomato238,0.3930958990389102,0.4377969114490996,1,1
plant_2_tomato238,plant_2,361,98,0.722,0.245,35378,0.17689,0.03151,tomato238,0.8824254205014281,0.21685433195810852,300,1
None_tomato240,None,27,7,0.0675,0.014,189,0.000945,0.000825,tomato240,0.1346787878787879,0.12703030303030302,64,37
plant_1_tomato240,plant_1,397,165,0.9925,0.33,65505,0.327525,0.20484,tomato240,0.1361467975004882,0.4715986867799258,1,1
plant_2_tomato240,plant_2,397,225,0.9925,0.45,89325,0.446625,0.07202,tomato240,0.6977539572341017,0.31931130241599553,237,1
plant_1_tomato241,plant_1,397,249,0.9925,0.498,98853,0.494265,0.274475,tomato241,0.5509746607159123,0.579055879406139,148,1
plant_2_tomato241,plant_2,187,221,0.4675,0.442,41327,0.206635,0.01717,tomato241,0.6462376237623761,0.23883517763541062,217,1
dreid_1_tomato246,dreid_1,24,32,0.06,0.064,768,0.00384,0.002315,tomato246,0.5509805615550756,0.17055075593952485,259,55
plant_1_tomato246,plant_1,170,102,0.425,0.204,17340,0.0867,0.036035,tomato246,0.07309338143471625,0.17083495212987374,1,1
plant_2_tomato246,plant_2,311,75,0.7775,0.15,23325,0.116625,0.025165,tomato246,0.30288774090999404,0.2748072720047685,118,1
plant_3_tomato246,plant_3,325,139,0.8125,0.278,45175,0.225875,0.123945,tomato246,0.41394779942716525,0.35214006212432936,145,1
plant_4_tomato246,plant_4,397,364,0.9925,0.728,144508,0.72254,0.158635,tomato246,0.7224413275758818,0.5111122230277051,134,1
plant_5_tomato246,plant_5,213,102,0.5325,0.204,21726,0.10863,0.015375,tomato246,0.579290406504065,0.2607560975609756,245,1
plant_7_tomato246,plant_7,25,82,0.0625,0.164,2050,0.01025,0.00377,tomato246,0.9180159151193634,0.6040915119363395,416,228
plant_8_tomato246,plant_8,140,51,0.35,0.102,7140,0.0357,0.0066,tomato246,0.9234818181818182,0.2965814393939394,445,40
None_tomato268,None,397,497,0.9925,0.994,197309,0.986545,0.633995,tomato268,0.5307747852901048,0.4972948130505761,1,1
plant_1_tomato268,plant_1,397,282,0.9925,0.564,111954,0.55977,0.19608,tomato268,0.679360159118727,0.4132387290901673,178,1
