img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
None_11,None,499,499,0.998,0.998,249001,0.996004,0.563684,11,0.45491327765201783,0.4631459328276126,0,0
diseased_11,diseased,296,302,0.592,0.604,89392,0.357568,0.054404,11,0.7906005440776414,0.5369697816337035,196,158
plant_1_11,plant_1,459,497,0.918,0.994,228123,0.912492,0.380588,11,0.5220812427086509,0.5465787465710953,1,39
None_11478,None,499,499,0.998,0.998,249001,0.996004,0.434148,11478,0.5374909017201508,0.43192835622875153,0,0
plant_1_11478,plant_1,456,437,0.912,0.874,199272,0.797088,0.566124,11478,0.46922992135998476,0.5495552069864552,23,42
None_12101,None,499,499,0.998,0.998,249001,0.996004,0.630048,12101,0.5222219894357255,0.5130838031388084,0,0
plant_1_12101,plant_1,497,225,0.994,0.45,111825,0.4473,0.29466,12101,0.5406405212787619,0.47460281001832616,155,1
plant_2_12101,plant_2,489,184,0.978,0.368,89976,0.359904,0.073912,12101,0.1395251650611538,0.48127870981707976,1,9
None_12358,None,499,499,0.998,0.998,249001,0.996004,0.480628,12358,0.576789150860957,0.4523749760729712,0,0
plant_1_12358,plant_1,484,438,0.968,0.876,211992,0.847968,0.518584,12358,0.4271435447294942,0.5414542214954569,17,14
None_12453,None,499,499,0.998,0.998,249001,0.996004,0.4435,12453,0.3712283021420519,0.514171472378805,0,0
plant_1_12453,plant_1,497,497,0.994,0.994,247009,0.988036,0.440348,12453,0.5653099457701636,0.4948257105743639,1,1
plant_2_12453,plant_2,422,241,0.844,0.482,101702,0.406808,0.127576,12453,0.7262983633285257,0.45741920110365586,257,1
None_12527,None,499,499,0.998,0.998,249001,0.996004,0.527888,12527,0.4915534204225139,0.4942267299124057,0,0
plant_1_12527,plant_1,440,476,0.88,0.952,209440,0.83776,0.471072,12527,0.5080683377487942,0.5040008321445554,1,58
diseased_12563,diseased,98,109,0.196,0.218,10682,0.042728,0.009604,12563,0.11715618492294877,0.9217401082882133,2,400
plant_1_12563,plant_1,454,441,0.908,0.882,200214,0.800856,0.32576,12563,0.4665848722986248,0.6116301080550098,57,44
plant_2_12563,plant_2,225,126,0.45,0.252,28350,0.1134,0.038336,12563,0.8729058848080135,0.7825517529215359,372,273
None_12644,None,499,499,0.998,0.998,249001,0.996004,0.179976,12644,0.41386353736053694,0.38421318398008625,0,0
plant_1_12644,plant_1,497,497,0.994,0.994,247009,0.988036,0.819028,12644,0.5172777096753712,0.5231886577748257,1,1
None_128,None,499,499,0.998,0.998,249001,0.996004,0.086756,128,0.18474406381114852,0.5500341186776707,0,0
plant_1_128,plant_1,497,497,0.994,0.994,247009,0.988036,0.890732,128,0.5345040887719313,0.4853448354836247,1,1
plant_2_128,plant_2,75,119,0.15,0.238,8925,0.0357,0.017908,128,0.20599865981684165,0.9531882957337502,52,423
None_12811,None,498,498,0.996,0.996,248004,0.992016,0.562836,12811,0.4849154496158739,0.5192651358477425,0,0
plant_1_12811,plant_1,419,460,0.838,0.92,192740,0.77096,0.429284,12811,0.5140628395188267,0.4705645493426263,32,1
None_12812,None,498,498,0.996,0.996,248004,0.992016,0.598132,12812,0.4503763450208315,0.49744726582092247,0,0
plant_1_12812,plant_1,497,353,0.994,0.706,175441,0.701764,0.393108,12812,0.5703961455884897,0.49608854564140137,105,1
None_13245,None,499,499,0.998,0.998,249001,0.996004,0.434296,13245,0.5308024941514543,0.5902311050527751,0,0
plant_1_13245,plant_1,433,487,0.866,0.974,210871,0.843484,0.565948,13245,0.47318278004339626,0.4297045240905525,11,3
None_13646,None,499,499,0.998,0.998,249001,0.996004,0.411548,13646,0.44448896362028245,0.3681647438451894,0,0
plant_1_13646,plant_1,441,464,0.882,0.928,204624,0.818496,0.582068,13646,0.5356117154696702,0.5916070424761368,34,57
None_13831,None,499,499,0.998,0.998,249001,0.996004,0.476776,13831,0.5901899088880312,0.49233447992348606,0,0
diseased_13831,diseased,71,75,0.142,0.15,5325,0.0213,0.016588,13831,0.6808121533638776,0.8707865927176272,305,401
plant_1_13831,plant_1,453,432,0.906,0.864,195696,0.782784,0.42758,13831,0.4080118433977267,0.4645610739510735,1,1
plant_2_13831,plant_2,108,333,0.216,0.666,35964,0.143856,0.053792,13831,0.5859977691850089,0.8492163890541344,111,367
plant_3_13831,plant_3,131,112,0.262,0.224,14672,0.058688,0.033832,13831,0.12527926223693545,0.3332031213052731,1,93
None_13869,None,499,499,0.998,0.998,249001,0.996004,0.406908,13869,0.6071414472067396,0.634011914241057,0,0
plant_1_13869,plant_1,466,436,0.932,0.872,203176,0.812704,0.58894,13869,0.42168465378476583,0.4148265018507828,1,0
plant_2_13869,plant_2,66,84,0.132,0.168,5544,0.022176,0.003164,13869,0.05505183312262958,0.08037420986093552,1,1
plant_3_13869,plant_3,163,22,0.326,0.044,3586,0.014344,0.008512,13869,0.730421992481203,0.16063063909774436,352,1
None_13955,None,499,499,0.998,0.998,249001,0.996004,0.274968,13955,0.5125497076023391,0.7042823019405895,0,0
plant_1_13955,plant_1,459,480,0.918,0.96,220320,0.88128,0.713748,13955,0.49934117923973165,0.43197519572734355,18,1
plant_2_13955,plant_2,91,45,0.182,0.09,4095,0.01638,0.013248,13955,0.03924275362318841,0.09921557971014493,1,1
plant_3_13955,plant_3,23,70,0.046,0.14,1610,0.00644,0.00506,13955,0.7897407114624506,0.020964426877470355,356,1
None_13965,None,499,499,0.998,0.998,249001,0.996004,0.222992,13965,0.36072616057975176,0.4311765444500251,0,0
plant_1_13965,plant_1,455,485,0.91,0.97,220675,0.8827,0.716504,13965,0.5416339113249891,0.560304545403794,13,43
plant_2_13965,plant_2,50,183,0.1,0.366,9150,0.0366,0.024076,13965,0.1411882372487124,0.042295397906629006,1,1
plant_3_13965,plant_3,84,150,0.168,0.3,12600,0.0504,0.04186,13965,0.6871759197324414,0.07608007644529384,268,1
None_14014,None,498,498,0.996,0.996,248004,0.992016,0.650712,14014,0.5521096644905887,0.49211223398369786,0,0
plant_1_14014,plant_1,424,407,0.848,0.814,172568,0.690272,0.341,14014,0.39393339589442816,0.5058852082111437,1,74
None_14681,None,498,498,0.996,0.996,248004,0.992016,0.514364,14681,0.4857656290098063,0.5284927405494941,0,0
plant_1_14681,plant_1,497,344,0.994,0.688,170968,0.683872,0.479852,14681,0.5102525111909505,0.4659761426439819,94,1
None_14698,None,499,499,0.998,0.998,249001,0.996004,0.65202,14698,0.5794512070181896,0.511998355878654,0,0
plant_1_14698,plant_1,495,421,0.99,0.842,208395,0.83358,0.360804,14698,0.3493052405183978,0.47410576379419295,1,1
None_14815,None,499,499,0.998,0.998,249001,0.996004,0.657452,14815,0.5145368239810663,0.48661807097704474,0,0
plant_1_14815,plant_1,498,269,0.996,0.538,133962,0.535848,0.338712,14815,0.46891551524599073,0.5218653959706181,108,0
None_14924,None,499,498,0.998,0.996,248502,0.994008,0.572812,14924,0.3784333149445193,0.4819248479431297,0,0
plant_1_14924,plant_1,497,343,0.994,0.686,170471,0.681884,0.428956,14924,0.6611908540736112,0.5211963185035294,155,1
None_15,None,499,499,0.998,0.998,249001,0.996004,0.487092,15,0.5145690752465654,0.4886327182544571,0,0
plant_1_15,plant_1,497,379,0.994,0.758,188363,0.753452,0.523808,15,0.485014432769259,0.5095601441749649,64,1
None_15095,None,499,499,0.998,0.998,249001,0.996004,0.44416,15095,0.39899497478386164,0.47447878242074926,0,0
plant_1_15095,plant_1,497,470,0.994,0.94,233590,0.93436,0.566564,15095,0.5773377482508596,0.5205492618662676,28,1
None_15320,None,499,499,0.998,0.998,249001,0.996004,0.635544,15320,0.4648357061037473,0.5278383746837355,0,0
plant_1_15320,plant_1,497,328,0.994,0.656,163016,0.652064,0.373192,15320,0.5594006302385903,0.4488262127805526,113,1
None_15333,None,498,498,0.996,0.996,248004,0.992016,0.674448,15333,0.47637304580931367,0.5034646881597988,0,0
plant_1_15333,plant_1,450,262,0.9,0.524,117900,0.4716,0.294772,15333,0.5096559781797457,0.4585742472147965,135,1
None_15514,None,499,499,0.998,0.998,249001,0.996004,0.389008,15514,0.5960013572985646,0.5223187800765023,0,0
diseased_15514,diseased,245,400,0.49,0.8,98000,0.392,0.0139,15514,0.3921818705035971,0.34685640287769787,11,45
plant_1_15514,plant_1,442,387,0.884,0.774,171054,0.684216,0.410132,15514,0.44489541903582264,0.4545142539475096,1,1
plant_2_15514,plant_2,446,167,0.892,0.334,74482,0.297928,0.10584,15514,0.12308216175359032,0.4357075585789872,1,30
plant_3_15514,plant_3,249,226,0.498,0.452,56274,0.225096,0.073116,15514,0.7429868154713059,0.8010914163794518,250,210
plant_4_15514,plant_4,137,65,0.274,0.13,8905,0.03562,0.014024,15514,0.9110074158585283,0.4554723331431831,413,167
plant_5_15514,plant_5,57,50,0.114,0.1,2850,0.0114,0.007772,15514,0.884156459083891,0.1576716417910448,414,52
None_15645,None,499,499,0.998,0.998,249001,0.996004,0.431616,15645,0.5571461113582444,0.45987170077105577,0,0
plant_1_15645,plant_1,456,497,0.912,0.994,226632,0.906528,0.5769,15645,0.4554223608944358,0.5306135274744324,1,42
plant_1_15764,plant_1,465,498,0.93,0.996,231570,0.92628,0.668604,15764,0.48059649059832127,0.6384725068949632,0,33
None_15809,None,499,499,0.998,0.998,249001,0.996004,0.555916,15809,0.5105705322386835,0.45098276718065317,0,0
plant_1_15809,plant_1,497,342,0.994,0.684,169974,0.679896,0.449956,15809,0.48456236609801845,0.5565030714114269,84,1
None_16089,None,499,499,0.998,0.998,249001,0.996004,0.598404,16089,0.4498289984692616,0.44280788230025203,0,0
plant_1_16089,plant_1,497,410,0.994,0.82,203770,0.81508,0.413408,16089,0.5718487499032433,0.5801380331294992,69,1
None_16102,None,499,499,0.998,0.998,249001,0.996004,0.425016,16102,0.5346966702430026,0.5335742277937772,0,0
plant_1_16102,plant_1,468,398,0.936,0.796,186264,0.745056,0.295852,16102,0.6480525397834053,0.505515271149088,100,3
plant_2_16102,plant_2,497,328,0.994,0.656,163016,0.652064,0.277668,16102,0.3067038333549419,0.44250909719521153,1,1
plant_3_16102,plant_3,211,46,0.422,0.092,9706,0.038824,0.011848,16102,0.03215597569209993,0.43144632005401756,1,98
None_16378,None,499,499,0.998,0.998,249001,0.996004,0.551584,16378,0.5488076231362765,0.5163765301386551,0,0
plant_1_16378,plant_1,497,383,0.994,0.766,190351,0.761404,0.326096,16378,0.35683842794759824,0.4865235758794956,1,1
plant_2_16378,plant_2,497,208,0.994,0.416,103376,0.413504,0.123392,16378,0.7010121239626556,0.43750401970954356,230,1
