img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
diseased_IMG_8863,diseased,2484,1871,0.6160714285714286,0.6187169312169312,4647564,0.3811738236961451,0.018536151922188628,IMG_8863,0.5963350493685837,0.6162113479892216,1151,1546
dried_IMG_8863,dried,3013,2618,0.7472718253968254,0.8657407407407407,7888034,0.6469436636537331,0.012611902399848829,IMG_8863,0.631572729766345,0.5872714945670631,404,1017
plant_1_IMG_8863,plant_1,3021,2711,0.7492559523809523,0.896494708994709,8189931,0.6717039969923154,0.045979797204375575,IMG_8863,0.6539867020716605,0.6645302071911582,311,1009
plant_2_IMG_8863,plant_2,2311,861,0.5731646825396826,0.2847222222222222,1989771,0.16319272211199295,0.007501331937095826,IMG_8863,0.8550728566083303,0.5788956058340475,2161,1196
plant_3_IMG_8863,plant_3,192,922,0.047619047619047616,0.3048941798941799,177024,0.014518770471151424,0.0018005755542957924,IMG_8863,0.8754551815412023,0.9029316777612931,2100,3516
None_IMG_8889,None,432,224,0.14285714285714285,0.05555555555555555,96768,0.007936507936507936,0.004757574326026707,IMG_8889,0.526475134347917,0.8576523084026358,2017,2391
diseased_IMG_8889,diseased,1224,3157,0.40476190476190477,0.7829861111111112,3864168,0.3169229497354497,0.032453910383597885,IMG_8889,0.6004758743570665,0.5041332924363253,873,972
dried_IMG_8889,dried,704,1551,0.2328042328042328,0.38467261904761907,1091904,0.08955341395817586,0.0004246779730410683,IMG_8889,0.5830198887846628,0.5463931141316232,1802,1240
plant_1_IMG_8889,plant_1,1783,4030,0.5896164021164021,0.9995039682539683,7185490,0.5893239336629713,0.25859189644221886,IMG_8889,0.4726674767077492,0.5489818511779724,0,833
diseased_IMG_8715,diseased,3131,2492,0.7765376984126984,0.8240740740740741,7802452,0.639924584803057,0.03177974025258251,IMG_8715,0.5374360927757786,0.7031082097088622,60,762
plant_1_IMG_8715,plant_1,4030,3022,0.9995039682539683,0.9993386243386243,12178660,0.9988429206559167,0.18214756485155792,IMG_8715,0.5727426404355919,0.5769013059559629,0,0
plant_2_IMG_8715,plant_2,2013,1275,0.4992559523809524,0.42162698412698413,2566575,0.21049978150982615,0.05007812828063324,IMG_8715,0.18888335051722244,0.8515851201040376,0,2017
None_IMG_8717,None,111,120,0.027529761904761904,0.03968253968253968,13320,0.0010924508692365836,0.000698200769505333,IMG_8717,0.10339283461273359,0.6270594086728234,255,2478
diseased_IMG_8717,diseased,3879,2850,0.9620535714285714,0.9424603174603174,11055150,0.9066973143424036,0.02359972731376501,IMG_8717,0.3713042768153439,0.7150997003364629,0,151
dried_IMG_8717,dried,761,474,0.18874007936507936,0.15674603174603174,360714,0.029584258471907283,0.010594887067481313,IMG_8717,0.8386771643036108,0.6380877258720169,2320,2198
plant_1_IMG_8717,plant_1,3837,3022,0.9516369047619048,0.9993386243386243,11595414,0.9510075152746283,0.16604744714243722,IMG_8717,0.3986899030551646,0.5354572547595535,0,0
plant_2_IMG_8717,plant_2,1412,1144,0.3501984126984127,0.3783068783068783,1615328,0.13248246829596036,0.015734819197740824,IMG_8717,0.11310802772731562,0.733023996000782,0,2273
plant_3_IMG_8717,plant_3,581,1821,0.1440972222222222,0.6021825396825397,1058001,0.08677283123897707,0.037094284087091624,IMG_8717,0.29676459390567517,0.9405264158263601,0,3449
None_IMG_8749,None,77,69,0.02546296296296296,0.01711309523809524,5313,0.00043575011022927687,0.00019872435857058872,IMG_8749,0.772461967487504,0.5856402323849703,3089,1730
diseased_IMG_8749,diseased,1928,2994,0.6375661375661376,0.7425595238095238,5772432,0.47343080750818844,0.051366022875199466,IMG_8749,0.4607532026010807,0.358419820196857,741,518
dried_IMG_8749,dried,42,98,0.013888888888888888,0.024305555555555556,4116,0.00033757716049382714,0.00013097928214495674,IMG_8749,0.4035239996123684,0.5134260915804435,1587,1530
plant_1_IMG_8749,plant_1,2941,4030,0.97255291005291,0.9995039682539683,11852230,0.9720704929348283,0.3297526861824977,IMG_8749,0.45743744287699223,0.43109258205229317,0,0
diseased_IMG_8960,diseased,343,302,0.11342592592592593,0.07490079365079365,103586,0.008495691872427984,0.002573738793356849,IMG_8960,0.07262511108986683,0.6329545592495307,150,1738
plant_1_IMG_8960,plant_1,756,4030,0.25,0.9995039682539683,3046680,0.24987599206349206,0.04827172960233476,IMG_8960,0.4615128832903475,0.5439756893343874,0,1307
diseased_IMG_8865,diseased,2716,1899,0.6736111111111112,0.6279761904761905,5157684,0.4230117394179894,0.015320557235239774,IMG_8865,0.5509919767484677,0.430704124764199,647,790
plant_1_IMG_8865,plant_1,4030,3022,0.9995039682539683,0.9993386243386243,12178660,0.9988429206559167,0.36354657121336187,IMG_8865,0.589300415388723,0.524562723416883,0,0
diseased_IMG_8726,diseased,2105,2537,0.5220734126984127,0.8389550264550265,5340385,0.43799611376186276,0.012680877713739817,IMG_8726,0.5516783730778977,0.5273646628799954,485,1118
plant_1_IMG_8726,plant_1,3040,2741,0.753968253968254,0.906415343915344,8332640,0.6834083942218863,0.10582592894410851,IMG_8726,0.49071408552465834,0.5390851146529914,281,990
diseased_IMG_8766,diseased,2651,1982,0.6574900793650794,0.6554232804232805,5254282,0.4309343046632233,0.14200417821449568,IMG_8766,0.3567334617718218,0.47696885707307335,58,662
plant_1_IMG_8766,plant_1,3861,3023,0.9575892857142857,0.9996693121693122,11671803,0.9572726225907029,0.3307868237958764,IMG_8766,0.53945515874108,0.47561219588977605,0,169
diseased_IMG_8913,diseased,2665,1809,0.6609623015873016,0.5982142857142857,4820985,0.39539709112811794,0.014955422755521962,IMG_8913,0.6692639393186561,0.4232478723418609,989,1133
dried_IMG_8913,dried,128,118,0.031746031746031744,0.03902116402116402,15104,0.0012387671117829848,0.0005048074399512892,IMG_8913,0.3856752264043084,0.698770316751125,1115,2746
plant_1_IMG_8913,plant_1,4030,3022,0.9995039682539683,0.9993386243386243,12178660,0.9988429206559167,0.17856995228647016,IMG_8913,0.570467174516779,0.5356231453242286,0,0
plant_1_grape_1,plant_1,1198,1507,0.9983333333333333,0.941875,1805386,0.9403052083333333,0.25161875,grape_1,0.5465984107073367,0.6228988152407605,0,0
plant_2_grape_1,plant_2,1198,1467,0.9983333333333333,0.916875,1757466,0.915346875,0.16174479166666667,grape_1,0.36369501288037354,0.44866626415499383,0,0
plant_3_grape_1,plant_3,1110,212,0.925,0.1325,235320,0.1225625,0.007639583333333333,grape_1,0.4736513157894737,0.45136072857012993,649,14
dried_IMG_8899,dried,1016,4029,0.335978835978836,0.9992559523809523,4093464,0.3357288517258755,0.06762295485323759,IMG_8899,0.5812308374272943,0.5277670370840747,1,1037
plant_1_IMG_8899,plant_1,1189,4030,0.3931878306878307,0.9995039682539683,4791670,0.3929927970416562,0.08528235754178215,IMG_8899,0.5125429185659429,0.5288420270991907,0,976
diseased_IMG_9178,diseased,2107,2156,0.5225694444444444,0.7129629629629629,4542692,0.37257265946502055,0.018831736977198286,IMG_9178,0.48467757603099554,0.6057984346351002,0,1088
dried_IMG_9178,dried,2249,2721,0.5577876984126984,0.8998015873015873,6119529,0.5018982564090451,0.03707074554358781,IMG_9178,0.4606500664514304,0.6465280071401267,301,1069
plant_1_IMG_9178,plant_1,2053,3022,0.5091765873015873,0.9993386243386243,6204166,0.5088398302994037,0.06216480129860586,IMG_9178,0.5019762389318673,0.6497313896354092,0,1368
plant_2_IMG_9178,plant_2,1992,2129,0.49404761904761907,0.7040343915343915,4240968,0.3478265148652053,0.003450488027000924,IMG_9178,0.4290539760890477,0.5051228533076926,0,1075
diseased_IMG_9145,diseased,1651,1179,0.9504893494530801,0.9048349961627015,1946529,0.8600360268650663,0.054464896781750274,IMG_9145,0.6552582084385853,0.5380652146524112,122,84
dried_IMG_9145,dried,1735,915,0.9988485895221646,0.7022256331542595,1587525,0.701417083202441,0.03928050541883108,IMG_9145,0.591217822785936,0.49113723853473407,386,0
plant_1_IMG_9145,plant_1,1735,730,0.9988485895221646,0.5602455871066769,1266550,0.5596005144675212,0.05615092225505024,IMG_9145,0.32651806905429587,0.5161585031806937,206,0
plant_2_IMG_9145,plant_2,311,143,0.17904432930339667,0.10974673829623945,44473,0.01964953115148559,0.007922905866670554,IMG_9145,0.027781039961830734,0.06678447242194686,0,0
plant_3_IMG_9145,plant_3,1735,616,0.9988485895221646,0.4727551803530315,1068760,0.47221084508492206,0.08518095833935327,IMG_9145,0.5462629450134073,0.459108263757466,408,0
plant_4_IMG_9145,plant_4,1735,653,0.9988485895221646,0.501151189562548,1132955,0.500574158831906,0.0699470819520605,IMG_9145,0.7670772680171822,0.49047244049360944,648,0
plant_5_IMG_9145,plant_5,667,280,0.38399539435808866,0.21488871834228704,186760,0.08251627814295075,0.015646987974697248,IMG_9145,0.9184187772819964,0.8169644405858181,1021,1068
diseased_grape_3,diseased,37,92,0.04625,0.15333333333333332,3404,0.007091666666666666,0.0051,grape_3,0.9325027233115469,0.01800500408496732,506,0
dried_grape_3,dried,357,236,0.44625,0.3933333333333333,84252,0.175525,0.007625,grape_3,0.2571001821493625,0.32165129781420765,10,15
plant_1_grape_3,plant_1,774,598,0.9675,0.9966666666666667,462852,0.964275,0.5462666666666667,grape_3,0.5221411182470913,0.4867098448559922,0,0
plant_2_grape_3,plant_2,698,120,0.8725,0.2,83760,0.1745,0.05505625,grape_3,0.9319914607535222,0.47495733530101786,479,0
diseased_IMG_8934,diseased,764,2265,0.3062124248496994,0.8382679496669134,1730460,0.2566880615412913,0.016990309263975767,IMG_8934,0.664495270691106,0.447315371094905,0,741
plant_1_IMG_8934,plant_1,1122,2087,0.4496993987975952,0.7723908216136195,2341614,0.3473436881164253,0.09414061283188138,IMG_8934,0.4529241623192377,0.4450638668773429,0,517
diseased_IMG_9181,diseased,1281,1306,0.6817456093666844,0.5213572854291417,1672986,0.35543304025265066,0.017075800501179652,IMG_9181,0.2541380026420397,0.7443472587897455,372,345
dried_IMG_9181,dried,1414,2315,0.7525279403938265,0.9241516966067864,3273410,0.6954499728589654,0.056463549749888195,IMG_9181,0.581903331592737,0.4947525629439332,62,195
plant_1_IMG_9181,plant_1,1200,2426,0.6386375731772219,0.9684630738522955,2911200,0.6184969071967826,0.04692838909727113,IMG_9181,0.39354584957850985,0.5171099203100948,77,384
plant_2_IMG_9181,plant_2,1215,1465,0.6466205428419372,0.5848303393213573,1779975,0.3781633114824104,0.019360108946556064,IMG_9181,0.6938068642470562,0.29161588040079534,1038,0
None_IMG_9175,None,28,16,0.006944444444444444,0.005291005291005291,448,3.6743092298647854e-05,2.7721350886033426e-05,IMG_9175,0.5405973122319276,0.26965415727434955,1628,1074
diseased_IMG_9175,diseased,478,337,0.1185515873015873,0.11144179894179894,161086,0.013211602156294617,0.008974746341437809,IMG_9175,0.47196932356102395,0.43063115226777987,1264,1488
dried_IMG_9175,dried,1570,1736,0.38938492063492064,0.5740740740740741,2725520,0.2235357877718989,0.001955913538254808,IMG_9175,0.664735273908475,0.4691246757739493,940,1334
plant_1_IMG_9175,plant_1,4030,2469,0.9995039682539683,0.816468253968254,9950070,0.8160632597946587,0.07156496375556395,IMG_9175,0.6451479341764561,0.5168912150067602,553,0
plant_2_IMG_9175,plant_2,2662,717,0.660218253968254,0.2371031746031746,1908654,0.15653984394683798,0.01586424017909633,IMG_9175,0.8805339628603591,0.7248519785201526,2305,1368
plant_3_IMG_9175,plant_3,2034,183,0.5044642857142857,0.060515873015873016,372222,0.0305280966553288,0.005165767117031998,IMG_9175,0.4131925832261229,0.7994148424101984,1162,1996
