img_tag,tag_nums,height,width,height_norm,width_norm,area,area_bb_norm,area_mask_norm,img_id,centroids_norm_x,centroids_norm_y,x_min,y_min
None_small_buildings_1,None,1659,2046,0.92578125,0.9990234375,3394314,0.9248771667480469,0.0873854500906808,small_buildings_1,0.5050070866599783,0.2700528618194813,0,0
road_1_small_buildings_1,road_1,648,101,0.36160714285714285,0.04931640625,65448,0.017833164760044644,0.002429689679827009,small_buildings_1,0.06912845766863855,0.21595581623784427,62,1
road_10_small_buildings_1,road_10,110,138,0.06138392857142857,0.0673828125,15180,0.004136221749441964,0.001251493181501116,small_buildings_1,0.02404771867515785,0.838814913416379,0,1436
road_11_small_buildings_1,road_11,180,18,0.10044642857142858,0.0087890625,3240,0.0008828299386160714,0.0009370531354631696,small_buildings_1,0.06298828125,0.8800223214285714,120,1487
road_12_small_buildings_1,road_12,86,18,0.04799107142857143,0.0087890625,1548,0.00042179652622767856,0.0004242488316127232,small_buildings_1,0.0627336348948298,0.935611208597119,120,1635
road_13_small_buildings_1,road_13,150,136,0.08370535714285714,0.06640625,20400,0.005558558872767857,0.001583099365234375,small_buildings_1,0.02461122391351119,0.9482072742500615,0,1623
road_14_small_buildings_1,road_14,86,52,0.04799107142857143,0.025390625,4472,0.0012185232979910715,0.0006861005510602679,small_buildings_1,0.05596676584839158,0.9745719214512653,84,1704
road_15_small_buildings_1,road_15,15,105,0.008370535714285714,0.05126953125,1575,0.0004291534423828125,0.00042315891810825894,small_buildings_1,0.09761663413554411,0.1628892954879956,146,284
road_16_small_buildings_1,road_16,144,87,0.08035714285714286,0.04248046875,12528,0.003413609095982143,0.0008577619280133929,small_buildings_1,0.12122621257544473,0.127881825478762,232,153
road_17_small_buildings_1,road_17,155,110,0.08649553571428571,0.0537109375,17050,0.004645756312779018,0.0012580326625279018,small_buildings_1,0.1180651794658328,0.20074407179213466,207,285
road_19_small_buildings_1,road_19,305,222,0.17020089285714285,0.1083984375,67710,0.018449510846819197,0.0033441271100725445,small_buildings_1,0.46325612975382957,0.17389103076148574,857,161
road_2_small_buildings_1,road_2,172,154,0.09598214285714286,0.0751953125,26488,0.0072174072265625,0.0022212437220982145,small_buildings_1,0.023334956145731108,0.36493276737522784,0,572
road_20_small_buildings_1,road_20,239,705,0.13337053571428573,0.34423828125,168495,0.045911243983677456,0.015418733869280134,small_buildings_1,0.2859427791359985,0.2338080691646744,233,297
road_21_small_buildings_1,road_21,262,239,0.14620535714285715,0.11669921875,62618,0.01706205095563616,0.004895891462053571,small_buildings_1,0.4541030299525545,0.31290271867248126,832,429
road_22_small_buildings_1,road_22,178,602,0.09933035714285714,0.2939453125,107156,0.02919769287109375,0.0052683694022042414,small_buildings_1,0.2959523542555599,0.3676446361612915,339,566
road_23_small_buildings_1,road_23,268,562,0.14955357142857142,0.2744140625,150616,0.04103960309709821,0.0056999751499720985,small_buildings_1,0.26660006864274105,0.3700798210615094,336,509
road_24_small_buildings_1,road_24,20,217,0.011160714285714286,0.10595703125,4340,0.00118255615234375,0.0007694789341517857,small_buildings_1,0.119384765625,0.40904017857142855,136,723
road_25_small_buildings_1,road_25,248,228,0.13839285714285715,0.111328125,56544,0.015407017299107142,0.0040313175746372765,small_buildings_1,0.464503124735975,0.4394471090015932,842,678
road_26_small_buildings_1,road_26,217,813,0.12109375,0.39697265625,176421,0.04807090759277344,0.012656075613839286,small_buildings_1,0.2609333770257869,0.5054182254694959,130,795
road_27_small_buildings_1,road_27,260,218,0.14508928571428573,0.1064453125,56680,0.015444074358258928,0.003596987043108259,small_buildings_1,0.4655900979329218,0.5795832228619044,837,904
road_28_small_buildings_1,road_28,224,803,0.125,0.39208984375,179872,0.04901123046875,0.012347085135323661,small_buildings_1,0.27382241182705674,0.6357101750129257,127,1030
road_29_small_buildings_1,road_29,247,232,0.13783482142857142,0.11328125,57304,0.015614100864955358,0.004417964390345982,small_buildings_1,0.4443490675496484,0.709669202596081,788,1144
road_3_small_buildings_1,road_3,229,120,0.12779017857142858,0.05859375,27480,0.007487705775669643,0.0014550345284598215,small_buildings_1,0.057899549391385766,0.4264520423689139,34,633
road_30_small_buildings_1,road_30,238,799,0.1328125,0.39013671875,190162,0.051815032958984375,0.015299115862165178,small_buildings_1,0.24240249924028906,0.7853338836168952,124,1263
road_31_small_buildings_1,road_31,231,451,0.12890625,0.22021484375,104181,0.028387069702148438,0.00858715602329799,small_buildings_1,0.1707077420970173,0.8942827855499649,119,1501
road_32_small_buildings_1,road_32,158,92,0.08816964285714286,0.044921875,14536,0.003960745675223214,0.0022762843540736605,small_buildings_1,0.2723557881142267,0.876980044845925,510,1508
